Fixture,Arm,Burst,LastSourceDerivative_s,RecoveryStart_s,Confirmation_s,Delay_s,Status,WithinLimit,Variant
V2EVAL10,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V03
V2EVAL10,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V03
V2EVAL10,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V03
V2EVAL11,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V03
V2EVAL11,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V03
V2EVAL11,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V03
V2EVAL11,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V03
V2EVAL11,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V03
V2EVAL11,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V03
V2EVAL11,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V03
V2EVAL11,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V03
V2EVAL12,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V03
V2EVAL12,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V03
V2EVAL12,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V03
V2EVAL12,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V03
V2EVAL12,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V03
V2EVAL12,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V03
V2EVAL12,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V03
V2EVAL12,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V03
V2EVAL01,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL01,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL01,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL01,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL01,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL01,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL01,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL01,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL02,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL02,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL02,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL02,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL02,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL02,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL02,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL02,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL03,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL03,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL03,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL03,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL03,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL03,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL03,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL03,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL04,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL04,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL04,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL04,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL04,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL04,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL04,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL04,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL05,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL05,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL05,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL05,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL05,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL05,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL05,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL05,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL06,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL06,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL06,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL06,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL06,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL06,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL06,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL06,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL07,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL07,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL07,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL07,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL07,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL07,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL07,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL07,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL08,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL08,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL08,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL08,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL08,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL08,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL08,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL08,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL09,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL09,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL09,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL09,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL09,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL09,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL09,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL09,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL10,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL10,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL10,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL10,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL10,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL10,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL10,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL10,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL11,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL11,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL11,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL11,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL11,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL11,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL11,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V04
V2EVAL11,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V04
V2EVAL12,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL12,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL12,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL12,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL12,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL12,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL12,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V04
V2EVAL12,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V04
V2EVAL01,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL01,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL01,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL01,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL01,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL01,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL01,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL01,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL02,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL02,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL02,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL02,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL02,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL02,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL02,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL02,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL03,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL03,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL03,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL03,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL03,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL03,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL03,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL03,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL04,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL04,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL04,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL04,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL04,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL04,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL04,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL04,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL05,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL05,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL05,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL05,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL05,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL05,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL05,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL05,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL06,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL06,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL06,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL06,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL06,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL06,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL06,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL06,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL07,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL07,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL07,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL07,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL07,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL07,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL07,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL07,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL08,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL08,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL08,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL08,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL08,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL08,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL08,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL08,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL09,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL09,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL09,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL09,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL09,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL09,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL09,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL09,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL10,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL10,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL10,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL10,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL10,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL10,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL10,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL10,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL11,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL11,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL11,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL11,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL11,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL11,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL11,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V05
V2EVAL11,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V05
V2EVAL12,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL12,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL12,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL12,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL12,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL12,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL12,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V05
V2EVAL12,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V05
V2EVAL01,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V06
V2EVAL01,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V06
V2EVAL01,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V06
V2EVAL01,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V06
V2EVAL01,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V06
V2EVAL01,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V06
V2EVAL01,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V06
V2EVAL01,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V06
V2EVAL02,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V06
V2EVAL02,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V06
V2EVAL02,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V06
V2EVAL02,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V06
V2EVAL02,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V06
V2EVAL02,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V06
V2EVAL02,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V06
V2EVAL02,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V06
V2EVAL03,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V06
V2EVAL03,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V06
V2EVAL03,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V06
V2EVAL03,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V06
V2EVAL03,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V06
V2EVAL03,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V06
V2EVAL03,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V06
V2EVAL03,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V06
V2EVAL04,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V06
V2EVAL04,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V06
V2EVAL04,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V06
V2EVAL04,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V06
V2EVAL04,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V06
V2EVAL04,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V06
V2EVAL04,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V06
V2EVAL04,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V06
V2EVAL05,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V06
V2EVAL05,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V06
V2EVAL05,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V06
V2EVAL05,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V06
V2EVAL05,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V06
V2EVAL05,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V06
V2EVAL05,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V06
V2EVAL05,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V06
V2EVAL06,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V06
V2EVAL06,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V06
V2EVAL06,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V06
V2EVAL06,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V06
V2EVAL06,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V06
V2EVAL06,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V06
V2EVAL06,COMBINED,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V06
V2EVAL06,COMBINED,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V06
V2EVAL07,BASELINE,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V06
V2EVAL07,BASELINE,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V06
V2EVAL07,EM_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V06
V2EVAL07,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V06
V2EVAL07,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V06
V2EVAL07,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V06
V2EVAL07,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V06
V2EVAL07,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V06
V2EVAL08,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V06
V2EVAL08,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V06
V2EVAL08,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V06
V2EVAL08,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V06
V2EVAL08,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V06
V2EVAL08,SW_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V06
